94789KJFK JFK20190601060510106/01/19 06:05:31  5-MIN KJFK 011105Z 04007KT 10SM CLR 18/13 A2985 80 72 500 050/07 RMK AO2 T01830133
94789KJFK JFK20190601061010106/01/19 06:10:31  5-MIN KJFK 011110Z 04007KT 10SM CLR 18/13 A2985 80 72 500 050/07 RMK AO2 T01830133
94789KJFK JFK20190601061510106/01/19 06:15:31  5-MIN KJFK 011115Z 06005KT 10SM CLR 18/13 A2985 80 72 500 080/05 RMK AO2 T01830133
94789KJFK JFK20190601062010106/01/19 06:20:31  5-MIN KJFK 011120Z 09005KT 10SM CLR 18/14 A2985 80 75 500 100/05 RMK AO2 T01830139
94789KJFK JFK20190601062510106/01/19 06:25:31  5-MIN KJFK 011125Z 06004KT 10SM CLR 18/14 A2985 80 75 500 070/04 RMK AO2 T01830139
94789KJFK JFK20190601063010106/01/19 06:30:31  5-MIN KJFK 011130Z 06004KT 10SM CLR 18/14 A2986 80 75 500 080/04 RMK AO2 T01830139
94789KJFK JFK20190601063510106/01/19 06:35:31  5-MIN KJFK 011135Z 09005KT 10SM CLR 19/14 A2986 70 72 600 100/05 RMK AO2 T01890139
94789KJFK JFK20190601064010406/01/19 06:40:31  5-MIN KJFK 011140Z 08005KT 10SM BKN250 19/14 A2986 70 72 600 090/05 RMK AO2 T01890139
94789KJFK JFK20190601064512906/01/19 06:45:31  5-MIN KJFK 011145Z 09004KT 10SM BKN250 19/14 A2986 70 72 600 100/04 RMK AO2 SLP111 T01890139 10189 20161 53002
94789KJFK JFK20190601065012906/01/19 06:50:31  5-MIN KJFK 011150Z 08004KT 10SM BKN250 19/14 A2986 70 72 600 100/04 RMK AO2 SLP111 T01890139 10189 20161 53002
94789KJFK JFK20190601065510106/01/19 06:55:31  5-MIN KJFK 011155Z 08004KT 10SM CLR 19/14 A2986 70 72 600 100/04 RMK AO2 T01890139
94789KJFK JFK20190601070010106/01/19 07:00:31  5-MIN KJFK 011200Z 08003KT 10SM CLR 19/14 A2986 70 72 600 100/03 RMK AO2 T01890139
94789KJFK JFK20190601070510106/01/19 07:05:31  5-MIN KJFK 011205Z 12004KT 10SM CLR 19/14 A2987 70 75 600 130/04 RMK AO2 T01890144
94789KJFK JFK20190601071010106/01/19 07:10:31  5-MIN KJFK 011210Z 11004KT 10SM CLR 19/14 A2987 60 75 600 120/04 RMK AO2 T01890144
94789KJFK JFK20190601071510106/01/19 07:15:31  5-MIN KJFK 011215Z 14007KT 10SM CLR 19/14 A2987 60 72 600 150/07 RMK AO2 T01940144
94789KJFK JFK20190601072010106/01/19 07:20:31  5-MIN KJFK 011220Z 13006KT 10SM CLR 19/14 A2987 60 70 600 140/06 RMK AO2 T01940139
94789KJFK JFK20190601072510106/01/19 07:25:31  5-MIN KJFK 011225Z 12008KT 10SM CLR 19/14 A2987 60 72 600 130/08 RMK AO2 T01940144
94789KJFK JFK20190601073010106/01/19 07:30:31  5-MIN KJFK 011230Z 13007KT 10SM CLR 19/14 A2987 60 70 600 140/07 RMK AO2 T01940139
94789KJFK JFK20190601073510106/01/19 07:35:31  5-MIN KJFK 011235Z 12008KT 10SM CLR 19/14 A2987 60 72 600 130/08 RMK AO2 T01890139
94789KJFK JFK20190601074010106/01/19 07:40:31  5-MIN KJFK 011240Z 12008KT 10SM CLR 19/14 A2987 60 72 600 130/08 RMK AO2 T01890139
94789KJFK JFK20190601074511106/01/19 07:45:31  5-MIN KJFK 011245Z 11009KT 10SM BKN250 19/14 A2987 60 70 600 120/09 RMK AO2 SLP115 T01940139
94789KJFK JFK20190601075011106/01/19 07:50:31  5-MIN KJFK 011250Z 12006KT 10SM BKN250 19/14 A2987 60 70 600 130/06 RMK AO2 SLP116 T01940139
94789KJFK JFK20190601075510106/01/19 07:55:31  5-MIN KJFK 011255Z 12006KT 10SM CLR 19/14 A2987 60 72 600 130/06 RMK AO2 T01940144
94789KJFK JFK20190601080010106/01/19 08:00:31  5-MIN KJFK 011300Z 10005KT 10SM CLR 19/14 A2987 60 72 600 110/05 RMK AO2 T01940144
94789KJFK JFK20190601080510106/01/19 08:05:31  5-MIN KJFK 011305Z 12006KT 10SM CLR 20/15 A2987 60 72 700 140/06 RMK AO2 T02000150
94789KJFK JFK20190601081010106/01/19 08:10:31  5-MIN KJFK 011310Z 09006KT 10SM CLR 20/14 A2987 60 70 700 100/06 RMK AO2 T02000144
94789KJFK JFK20190601081510106/01/19 08:15:31  5-MIN KJFK 011315Z 10006KT 10SM CLR 20/14 A2987 60 70 700 110/06 RMK AO2 T02000144
94789KJFK JFK20190601082010106/01/19 08:20:31  5-MIN KJFK 011320Z 09008KT 10SM CLR 21/14 A2987 60 67 800 110/08 RMK AO2 T02060144
94789KJFK JFK20190601082510106/01/19 08:25:31  5-MIN KJFK 011325Z 09009KT 10SM CLR 21/14 A2987 70 65 800 100/09 RMK AO2 T02060139
94789KJFK JFK20190601083010106/01/19 08:30:31  5-MIN KJFK 011330Z 07008KT 10SM CLR 21/13 A2987 60 61 800 090/08 RMK AO2 T02110133
94789KJFK JFK20190601083510106/01/19 08:35:31  5-MIN KJFK 011335Z 08009KT 10SM CLR 21/13 A2987 60 61 800 090/09 RMK AO2 T02110133
94789KJFK JFK20190601084010406/01/19 08:40:31  5-MIN KJFK 011340Z 07006KT 10SM BKN250 21/13 A2987 60 61 800 080/06 RMK AO2 T02110133
94789KJFK JFK20190601084511106/01/19 08:45:31  5-MIN KJFK 011345Z 07006KT 10SM BKN250 22/14 A2987 60 61 900 090/06 RMK AO2 SLP115 T02170139
94789KJFK JFK20190601085011106/01/19 08:50:31  5-MIN KJFK 011350Z 11006KT 10SM BKN250 22/14 A2987 60 63 900 120/06 RMK AO2 SLP114 T02170144
94789KJFK JFK20190601085510106/01/19 08:55:31  5-MIN KJFK 011355Z 10007KT 10SM CLR 21/13 A2987 60 61 800 120/07 RMK AO2 T02110133
94789KJFK JFK20190601090010106/01/19 09:00:31  5-MIN KJFK 011400Z 10005KT 10SM CLR 22/14 A2987 60 61 900 120/05 RMK AO2 T02170139
94789KJFK JFK20190601090510106/01/19 09:05:31  5-MIN KJFK 011405Z 08005KT 10SM CLR 22/14 A2987 60 61 900 090/05 RMK AO2 T02170139
94789KJFK JFK20190601091010106/01/19 09:10:31  5-MIN KJFK 011410Z 08005KT 10SM CLR 22/13 A2987 60 58 900 090/05 RMK AO2 T02170133
94789KJFK JFK20190601091510106/01/19 09:15:31  5-MIN KJFK 011415Z 12005KT 10SM CLR 22/13 A2987 70 58 900 130/05 RMK AO2 T02170133
94789KJFK JFK20190601092010106/01/19 09:20:31  5-MIN KJFK 011420Z 13007KT 10SM CLR 22/14 A2986 70 61 900 140/07 RMK AO2 T02170139
94789KJFK JFK20190601092510106/01/19 09:25:31  5-MIN KJFK 011425Z 12008KT 10SM CLR 22/14 A2986 70 61 900 130/08 RMK AO2 T02170139
94789KJFK JFK20190601093010106/01/19 09:30:31  5-MIN KJFK 011430Z 12008KT 10SM CLR 22/14 A2986 70 61 900 130/08 RMK AO2 T02170139
94789KJFK JFK20190601093510106/01/19 09:35:31  5-MIN KJFK 011435Z 09010KT 10SM CLR 22/14 A2987 70 61 900 110/10 RMK AO2 T02170139
94789KJFK JFK20190601094010206/01/19 09:40:31  5-MIN KJFK 011440Z 08008KT 10SM CLR 22/13 A2987 60 54 1000 100/08 RMK AO2 T02220128
94789KJFK JFK20190601094511506/01/19 09:45:31  5-MIN KJFK 011445Z 09007KT 10SM CLR 22/13 A2987 70 54 1000 100/07 RMK AO2 SLP113 T02220128 51018
94789KJFK JFK20190601095011806/01/19 09:50:31  5-MIN KJFK 011450Z 10009KT 10SM BKN250 23/13 A2986 70 53 1000 110/09 RMK AO2 SLP112 T02280128 51018
94789KJFK JFK20190601095510206/01/19 09:55:31  5-MIN KJFK 011455Z 10008KT 10SM CLR 23/13 A2986 70 53 1000 120/08 RMK AO2 T02280128
94789KJFK JFK20190601100010206/01/19 10:00:31  5-MIN KJFK 011500Z 11008KT 10SM CLR 23/13 A2986 70 53 1000 120/08 RMK AO2 T02280128
94789KJFK JFK20190601100510206/01/19 10:05:31  5-MIN KJFK 011505Z 08007KT 10SM CLR 23/13 A2986 70 53 1000 090/07 RMK AO2 T02280128
94789KJFK JFK20190601101010206/01/19 10:10:31  5-MIN KJFK 011510Z 10009KT 10SM CLR 23/13 A2986 70 51 1100 110/09 RMK AO2 T02330128
94789KJFK JFK20190601101510206/01/19 10:15:31  5-MIN KJFK 011515Z 11006KT 10SM CLR 23/13 A2986 70 51 1100 120/06 RMK AO2 T02330128
94789KJFK JFK20190601102010206/01/19 10:20:31  5-MIN KJFK 011520Z 11007KT 10SM CLR 23/13 A2986 70 51 1100 120/07 RMK AO2 T02330128
94789KJFK JFK20190601102510206/01/19 10:25:31  5-MIN KJFK 011525Z 11006KT 10SM CLR 23/13 A2986 70 51 1100 120/06 RMK AO2 T02330128
94789KJFK JFK20190601103010206/01/19 10:30:31  5-MIN KJFK 011530Z 10005KT 10SM CLR 23/13 A2986 70 51 1100 110/05 RMK AO2 T02330128
94789KJFK JFK20190601103510206/01/19 10:35:31  5-MIN KJFK 011535Z 09004KT 10SM CLR 24/13 A2986 70 51 1200 100/04 RMK AO2 T02390133
94789KJFK JFK20190601104010206/01/19 10:40:31  5-MIN KJFK 011540Z 11005KT 10SM CLR 24/13 A2986 70 51 1200 120/05 RMK AO2 T02390133
94789KJFK JFK20190601104511206/01/19 10:45:31  5-MIN KJFK 011545Z 13005KT 10SM BKN250 24/13 A2986 70 51 1200 140/05 RMK AO2 SLP110 T02390133
94789KJFK JFK20190601105011206/01/19 10:50:31  5-MIN KJFK 011550Z VRB04KT 10SM BKN250 24/13 A2986 80 51 1200 VRB/04 RMK AO2 SLP110 T02390133
94789KJFK JFK20190601105510206/01/19 10:55:31  5-MIN KJFK 011555Z 15005KT 10SM CLR 24/13 A2985 80 51 1200 160/05 RMK AO2 T02390133
94789KJFK JFK20190601110010206/01/19 11:00:31  5-MIN KJFK 011600Z 00000KT 10SM CLR 24/14 A2985 80 53 1200 000/00 RMK AO2 T02390139
94789KJFK JFK20190601110510206/01/19 11:05:31  5-MIN KJFK 011605Z 08004KT 10SM CLR 24/13 A2985 80 51 1200 100/04 RMK AO2 T02390133
